on,3346,29055,55291,85873,12726,39861
on,-66852,-48236,-56135,-54476,-19570,2585
on,-6600,13943,-97410,-61149,-8479,15831
on,-89076,-68935,-39116,-12632,16991,36348
on,16269,33593,-40336,-26046,58639,85537
on,-42702,-17930,-28755,-16049,-76632,-51955
on,66805,80326,-25202,2085,13446,26443
on,-22322,-8440,63417,72298,-38633,-25355
on,20542,43539,-62501,-39529,44885,62706
on,9584,17847,29529,45652,63581,78803
on,23885,45874,-30164,-12899,-70757,-62124
on,37153,70408,-5521,12256,-67461,-48372
on,-46778,-36147,-66822,-46741,21424,46935
on,60003,69355,37220,51059,22198,37018
on,-17406,18840,46510,62998,50847,74599
on,-51384,-24911,-10223,-636,59655,84141
on,25484,40197,9034,36344,-72754,-54857
on,-71701,-54435,-28868,-11491,19639,59029
on,45737,57801,19059,23686,-64089,-41263
on,-5851,18117,-39606,-18579,-80821,-70127
on,-66648,-40084,-18660,5431,-62190,-48355
on,40862,55351,-13685,7791,56599,67604
on,-42130,-29079,-82415,-50464,5605,23656
on,-95269,-70941,20196,33814,10130,27706
on,15341,40959,7559,14321,-80380,-58605
on,29317,47110,42998,56003,-68483,-36911
on,26491,32948,-83896,-71337,4893,29927
on,8400,34640,-9502,-7270,-79855,-75872
on,21876,34277,7372,15787,63943,91349
on,34199,70599,-19237,15833,-77424,-53540
on,-22839,6013,-73022,-47467,-63703,-26086
on,54543,81844,-16406,13479,-47514,-26753
on,70476,73903,17310,36991,-31416,-21047
on,11696,18671,44938,72642,-73098,-39508
on,29397,54555,40884,70484,-42500,-20693
on,-57114,-27588,-71837,-63179,-36334,-16541
on,-51823,-43923,16450,45857,-61616,-51663
on,-29109,-5238,53987,76251,-55133,-37181
on,-3422,14330,-84711,-58996,-47949,-19595
on,-52454,-40721,53056,76839,-37476,-21973
on,-76617,-70495,19494,45487,13388,34241
on,-75446,-46660,431,33240,40504,57409
on,1543,30060,-81196,-69614,3020,9042
on,-18251,-10130,-58331,-51994,-60581,-38884
on,66251,75474,-37181,-18094,-3742,13757
on,35485,50056,-12721,9840,47834,77651
on,62694,75245,-21368,4500,20741,32850
on,-75016,-60592,-38855,-30438,16871,39322
on,-61131,-40040,44401,66363,-32901,-5525
on,2055,28830,55873,80956,32494,48324
on,-5265,17194,-83183,-59325,13202,17470
on,-70307,-50148,-27205,-1188,-69380,-52520
on,-21370,543,13724,48061,57478,71969
on,-76385,-53780,-60960,-38839,-39620,-21794
on,32400,38571,-74410,-52196,-9470,201
on,-38861,-31110,-80914,-54541,11829,30050
on,63874,77010,23872,49561,-7752,3084
on,-48030,-22878,-53255,-37302,-59114,-47148
on,-63103,-48650,-50918,-35572,32128,46900
on,68411,86462,-39632,-19086,-19878,7685
on,1828,26148,-56036,-37523,50147,68351
on,-9724,5895,-5172,32358,76776,96915
on,-38932,-16881,-16146,5456,67509,81030
on,-16338,7196,-79105,-57072,-42657,-21321
on,61233,83455,6098,18960,12323,31016
on,9042,30357,65461,76250,29733,37437
on,23380,42597,38600,59064,-59247,-44272
on,39973,67058,-14206,16528,52355,65297
on,-47021,-26446,9946,20783,49418,83591
on,-75141,-53881,-55869,-45372,-28360,-4117
on,45026,60406,-53381,-33802,27691,57938
on,-73720,-65458,-21860,492,-53511,-24601
on,60212,72693,-37762,-35999,-42815,-26983
on,-30258,-2620,-22581,-4543,71856,82036
on,-81917,-67231,16207,48891,16921,35789
on,59790,75355,-6758,-3820,-50118,-30498
on,-23723,197,23771,51186,70364,71952
on,-27373,-2691,42551,53579,50413,75951
on,-36099,-13006,55250,83420,4309,17794
on,69060,95622,-10128,-951,-795,22186
on,56127,85787,-30037,-21119,-35307,-11321
on,-33032,-9336,-30837,-22229,-73300,-68041
on,59597,67022,-64506,-37160,-9847,15021
on,9970,23688,-43936,-29323,64977,68927
on,-3914,26168,-47,11869,-82627,-75284
on,-29133,-13827,-48029,-35305,54780,71029
on,7394,32695,73292,87416,-9660,16079
on,-72894,-55982,39964,60385,-18363,8239
on,-53059,-42742,-39424,-24726,36268,68568
on,-49419,-31464,-73913,-49406,-46601,-25505
on,-38654,-10260,-85131,-70803,10832,24274
on,-17968,5655,-31483,726,66336,88777
on,-29014,-8520,-16871,18131,-93226,-60814
on,-78874,-55250,-49821,-33482,3107,27213
on,-92556,-76869,-6668,-364,15270,27386
on,-22215,-7196,-7303,15077,60389,90959
on,-93390,-74504,-2241,16233,-12209,5132
on,21904,41801,-73000,-54183,-21711,814
on,-8278,10978,-67977,-46914,-64187,-49790
on,4239,22956,-58223,-40911,-59585,-45385
on,-4748,10534,-83544,-57441,-54311,-27710
on,-50658,-22001,-44731,-40535,-74296,-52635
on,-73371,-51231,41705,55729,-2136,19712
on,48243,77179,3412,14317,31248,60862
on,-44765,-27702,29871,53988,-63811,-50932
on,-17034,5077,29452,33591,58227,92536
on,29547,56695,18622,44417,-72529,-47628
on,-69378,-56446,3396,26243,-51428,-20265
on,-37272,-20491,62540,75188,-34300,-21161
on,-75714,-41150,-48120,-24177,-44886,-40122
on,-88051,-70106,-17143,-2101,12879,34712
on,-24044,-419,69387,92418,-36321,-7590
on,-39626,-18360,-72459,-56902,-40206,-29716
on,-40072,-7959,-81166,-49297,37946,53588
on,-19880,-8493,-79108,-58905,-31425,-14365
on,-59075,-38677,-16567,4053,58068,78602
on,50543,73261,-61665,-50628,11045,35168
on,20733,38626,-53298,-49643,31925,53213
on,31450,53471,23956,57055,-66313,-47665
on,-22847,12046,41380,60616,59682,79353
on,25374,56608,-16960,4916,-85310,-55978
on,46454,61094,9436,31666,43529,66722
on,-71259,-52917,35270,57533,-7536,7620
on,67101,92182,-14652,22663,-30737,-15519
on,-34646,-5218,-51561,-44384,-77546,-51548
on,-28631,-4530,-22864,-8159,64317,95016
on,18905,29015,-88901,-62496,-10474,923
off,14731,49270,-84487,-50114,-51741,-24666
on,36523,50234,-48798,-19725,32659,68320
on,-3881,18286,1695,27599,-94451,-75599
on,1564,16942,62339,91951,839,30149
on,20304,36064,3459,38319,66965,92109
on,10530,44290,-45612,-34771,54526,80647
on,28855,39394,64446,79461,-22155,2732
off,-33928,-27582,33621,39729,-83053,-50096
off,-72831,-49562,-11141,14696,-48377,-30813
on,-1514,7888,4627,28889,-90790,-72548
off,27257,48714,-80852,-56188,10667,39106
off,-23354,-4251,59966,78809,34709,54372
on,-35282,-16997,-56317,-24933,-62805,-56245
on,-2227,17847,8470,38424,-78695,-65213
off,60896,72927,35024,55913,-32775,-16911
off,-64864,-42920,-17407,-54,-72066,-44353
on,-46157,-27456,57262,78720,-20145,4131
off,43849,77466,-58778,-43963,-14159,10415
on,-23828,-16150,-87866,-75490,11407,16939
off,12164,33665,-6400,10238,-87979,-63401
on,23615,55833,7453,18457,-85920,-57350
on,-40675,-26911,48362,56763,-54066,-43705
on,-72738,-51291,-2891,15976,44235,58189
on,49207,81951,-24926,-9957,-42240,-41508
off,-57161,-27129,-73081,-55256,23321,40263
on,-60626,-45750,45993,59627,7283,31969
on,-54424,-37511,-73156,-68044,617,20695
off,61577,83239,-30533,4182,19445,39734
off,-44142,-36940,-18137,-11026,57620,87726
on,39838,60496,-62187,-29792,26209,36906
on,5260,33769,73133,86434,-24525,-11423
on,-36986,-20984,69578,79995,-18380,9919
on,-4107,12679,-36148,-8537,-77473,-70965
on,13785,32581,47182,57084,-73051,-37330
off,-13673,6927,-87455,-64845,9385,21722
on,-7488,3867,-79234,-59075,38258,57402
off,39494,54675,27851,46588,-54082,-50869
on,385,27692,3728,33216,67955,84805
off,-58671,-25964,-29442,-10127,59383,75507
off,-50276,-27994,-14406,2283,59649,77291
off,-68879,-47043,-69011,-39870,-9656,3781
off,-99286,-61487,-13924,19764,-515,7798
off,50555,62847,45129,70075,15519,29885
on,-42096,-29655,-66843,-42930,45201,52617
on,-50756,-39612,49926,80383,12310,24441
off,-3553,21102,-77079,-40343,-58589,-37948
off,55423,69667,35605,61318,-37529,-9051
on,-88304,-70427,-2975,3327,-3023,20432
off,27110,48238,20429,33447,-69513,-56847
off,-70408,-53349,-55870,-28425,13136,40077
on,48007,76031,-43660,-18374,34610,43102
on,73260,86617,-1983,22849,6331,35201
off,-761,17563,64663,80718,15966,41641
off,-84860,-61114,20448,26796,-12883,13181
on,63639,78218,-16977,1308,27008,46964
on,76372,99554,-7769,14001,-16385,13079
on,26077,44013,-38989,-13822,49410,82519
off,-88969,-67232,12375,30961,-21281,-14983
off,-5679,12231,-67548,-40613,-67084,-50655
on,42574,61455,-66165,-41420,1108,10164
off,-94411,-63824,-18028,11154,-2723,21381
off,23966,41695,-76794,-66939,-38633,-19803
on,-74432,-40535,-53173,-44420,10148,32370
off,50456,52963,-71445,-46802,-3674,2428
off,-63251,-38375,-21573,-14697,-61030,-50647
off,-9040,17325,-84203,-51999,-47776,-28636
off,47829,60033,37452,52950,19921,47713
on,4092,10774,-76148,-60505,-30759,-19411
on,-19582,-7278,50458,74608,-57030,-41393
on,-30012,-8293,-58676,-29428,-69030,-44855
off,-68617,-53489,-63251,-31395,-3656,25906
off,-46677,-34554,53900,73260,-53285,-21932
on,36566,56112,-78527,-45595,-11235,6797
off,12140,25848,19063,26359,-82256,-57662
on,-86928,-64851,-16250,928,-55822,-28505
off,58075,85878,-348,16123,35184,49161
off,63936,88315,-23152,-16516,4477,23650
on,40738,61070,-236,3665,-68195,-55697
off,-41602,-27710,-73006,-48646,-47815,-40020
off,53913,77912,-56565,-29880,4686,27374
on,56518,74434,23660,28530,-39444,-24110
off,31245,38156,-41849,-25016,-80947,-45648
off,-89747,-63224,-39495,-11265,-2950,16591
off,35157,61351,-66491,-49632,-6433,21343
on,21541,49495,48698,53352,-56567,-49125
on,-62163,-35676,-61226,-38709,26288,30690
off,69678,79191,12568,14636,-18574,3692
on,-39899,-9054,19150,30502,62489,91883
off,-71869,-48062,-49812,-32215,33163,53311
on,26941,53838,-1303,21909,56402,86047
on,50550,68782,-44952,-39608,-60228,-29559
off,50646,61197,-67049,-46828,-51485,-22749
off,36842,62795,-34822,854,49658,64445
on,35847,47428,-79651,-62416,-900,22992
off,-61406,-38742,-74001,-59858,6310,32696
on,-84111,-58275,-19309,-375,33607,55412
on,-36737,-19900,60080,86363,-6260,9897
on,53693,89030,-43427,-16229,3869,31797
on,28324,53073,22609,50161,-67145,-54434
off,55949,65761,-29545,-13501,-64713,-32859
off,-96236,-59884,-11717,27654,17302,18944
on,-43618,-26100,56513,59228,-52987,-34324
off,-50881,-19804,-10923,12100,56244,74652
on,56146,75267,-53449,-42648,8110,18495
off,63899,85556,11701,18829,18988,43945
off,-40653,-30108,58184,77244,11725,23530
on,-60737,-32507,-67499,-49484,23919,45578
off,3752,24483,-72786,-48857,-66342,-45354
off,35369,64973,17707,38166,36260,57833
on,16635,33210,-68338,-33314,-75064,-38351
off,41960,56487,50836,74269,14745,50757
on,9727,44306,-19440,9568,-75073,-66244
on,-15357,838,31431,49207,54685,72307
on,1917,33121,-93589,-65219,-6017,12682
on,-31369,-15085,-19253,-5193,73309,92445
off,44628,50955,-57555,-30844,-55578,-34925
on,-70657,-52916,22021,31482,24552,39706
off,-32490,-21370,-72385,-60365,22672,45800
off,-19688,10295,-13286,4000,75107,90096
off,-27500,-8167,-84631,-67703,-26448,8903
off,-76756,-55653,-44765,-16974,19305,50451
on,-46309,-17419,66446,78979,-9728,11074
on,-26157,-13355,-45399,-40164,61445,77979
on,-87604,-65296,-41115,-21388,-7099,14239
on,40633,54882,-78910,-48822,-23752,-10051
off,-36336,-17656,-1156,13130,54373,76857
on,-63819,-53538,-57090,-45025,-29722,-10535
on,57011,91186,11756,32448,-10867,9254
on,-22364,-5307,20622,37876,58946,86117
on,-59980,-31720,-47670,-37234,44881,52209
on,49265,64801,46991,53469,27257,34340
off,53351,71717,338,16177,29927,48599
on,-38570,-14069,14728,25621,60304,83577
off,38198,52088,-67408,-43440,31808,39413
on,64754,74363,-54904,-36354,-17697,4749
on,-87028,-62151,1846,10714,25186,30315
off,13716,21776,-42101,-21980,-88304,-61130
on,-74326,-49738,-54477,-23790,15316,39169
off,-3996,23870,-26610,966,-85461,-74626
on,34842,46245,-63089,-48763,-53242,-24181
off,-2564,21696,-78933,-70900,-33487,-6437
on,-77436,-52434,-43271,-37281,-20012,14207
on,-57968,-32018,57320,82092,-685,25354
off,62375,84306,-4431,19734,-53910,-36550
on,44282,64354,54385,60505,12380,31235
on,-31759,-9099,-70774,-44052,-68587,-35980
on,51420,71131,26676,47714,-25438,2278
on,-45378,-26445,-29567,-20067,52655,65744
off,-54492,-41001,21779,28365,-65457,-51298
on,26802,57812,18839,47919,60875,73925
off,43350,69089,52449,69930,-10726,5245
off,-36340,-8137,-81759,-71529,-8584,1026
off,-41220,-15645,59471,73882,-22939,-9672
on,46739,71438,-67442,-39101,18873,23039
off,-60109,-39925,-69091,-62600,1987,25605
off,-20539,-10602,67786,89947,18242,32090
off,-17486,566,-37789,-18295,-89004,-65327
on,73694,79961,-22703,-2905,-1455,25008
off,32398,58652,-40166,-28747,46861,65868
off,-21486,-566,-93693,-62694,14592,26164
off,-75971,-56350,-22828,-280,-31029,-12846
on,13459,45768,-64642,-58315,-54124,-31850
off,-66965,-46502,-20216,2758,38423,48301
off,-60396,-27257,57130,80378,-8515,-538
on,-38572,-9482,-71712,-59943,-44950,-16801
on,-40911,-36074,-22661,-22165,62296,71986
on,-28920,-27155,-17625,-8342,54287,75009
off,24528,42887,68297,76197,10121,23017
off,-6241,18629,-92557,-73620,-6434,21836
off,-37174,-11800,25936,41352,61640,72778
on,-39468,-20408,-86032,-63751,8944,25611
on,-95385,-58672,-13317,7950,13973,31134
on,26506,47467,13884,33644,-82085,-55283
off,9931,29351,-21038,2020,73505,79532
on,-8542,1700,-39514,-9338,67916,80047
off,-58352,-45804,-62065,-52580,-11506,8422
off,-47052,-21418,-78922,-55148,4620,28133
off,-3055,13383,51213,79836,-55657,-22114
off,-58931,-33924,-10129,3414,-61569,-59313
on,-43539,-35924,67026,78136,-1835,15128
on,-84912,-70146,27256,36775,-12002,12405
off,-33768,-6824,55884,82639,22900,39117
off,-7963,11605,4762,20586,72897,95863
off,-27166,-1053,75934,91899,-3221,21564
on,58624,85880,-44030,-24644,-17819,-6406
off,11480,26782,76293,97455,-1115,21654
on,-88461,-70399,-17656,6894,30129,35244
on,27351,39603,47868,68849,-63370,-34989
on,71151,85607,2620,29746,-27629,-2110
off,23934,39205,-59694,-41732,50604,63849
off,12280,40332,-88699,-64334,-21555,-8697
off,-18979,2769,-67677,-39972,-65859,-60216
off,-53659,-23466,-62413,-32160,34013,60913
off,-11238,19640,26217,52206,56252,79692
off,46704,59211,-41361,-13454,-67118,-47016
on,53995,89863,-21371,-4249,15123,37907
on,67058,80641,-29949,-12598,-12532,11852
off,-12791,9642,-39314,-26020,-93039,-58541
on,43167,47607,25154,49498,43859,69861
off,-11454,-5139,63917,92333,3879,12251
